id,Course,Hole,par,yardage,fun,difficulty,maintenance,city,state,postalCode,photo,thumbnail,description
bay-tree-golf-plantation-gold-1,Bay Tree Golf Plantation - Gold,1,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-2,Bay Tree Golf Plantation - Gold,2,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-3,Bay Tree Golf Plantation - Gold,3,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-4,Bay Tree Golf Plantation - Gold,4,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-5,Bay Tree Golf Plantation - Gold,5,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-6,Bay Tree Golf Plantation - Gold,6,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-7,Bay Tree Golf Plantation - Gold,7,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-8,Bay Tree Golf Plantation - Gold,8,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-9,Bay Tree Golf Plantation - Gold,9,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-10,Bay Tree Golf Plantation - Gold,10,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-11,Bay Tree Golf Plantation - Gold,11,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-12,Bay Tree Golf Plantation - Gold,12,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-13,Bay Tree Golf Plantation - Gold,13,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-14,Bay Tree Golf Plantation - Gold,14,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-15,Bay Tree Golf Plantation - Gold,15,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-16,Bay Tree Golf Plantation - Gold,16,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-17,Bay Tree Golf Plantation - Gold,17,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-gold-18,Bay Tree Golf Plantation - Gold,18,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-1,Bay Tree Golf Plantation - Silver,1,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-2,Bay Tree Golf Plantation - Silver,2,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-3,Bay Tree Golf Plantation - Silver,3,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-4,Bay Tree Golf Plantation - Silver,4,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-5,Bay Tree Golf Plantation - Silver,5,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-6,Bay Tree Golf Plantation - Silver,6,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-7,Bay Tree Golf Plantation - Silver,7,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-8,Bay Tree Golf Plantation - Silver,8,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-9,Bay Tree Golf Plantation - Silver,9,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-10,Bay Tree Golf Plantation - Silver,10,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-11,Bay Tree Golf Plantation - Silver,11,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-12,Bay Tree Golf Plantation - Silver,12,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-13,Bay Tree Golf Plantation - Silver,13,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-14,Bay Tree Golf Plantation - Silver,14,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-15,Bay Tree Golf Plantation - Silver,15,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-16,Bay Tree Golf Plantation - Silver,16,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-17,Bay Tree Golf Plantation - Silver,17,,,,,,Myrtle Beach,,29577,,,
bay-tree-golf-plantation-silver-18,Bay Tree Golf Plantation - Silver,18,,,,,,Myrtle Beach,,29577,,,
beachwood-golf-club-1,Beachwood Golf Club,1,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-2,Beachwood Golf Club,2,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-3,Beachwood Golf Club,3,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-4,Beachwood Golf Club,4,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-5,Beachwood Golf Club,5,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-6,Beachwood Golf Club,6,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-7,Beachwood Golf Club,7,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-8,Beachwood Golf Club,8,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-9,Beachwood Golf Club,9,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-10,Beachwood Golf Club,10,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-11,Beachwood Golf Club,11,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-12,Beachwood Golf Club,12,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-13,Beachwood Golf Club,13,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-14,Beachwood Golf Club,14,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-15,Beachwood Golf Club,15,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-16,Beachwood Golf Club,16,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-17,Beachwood Golf Club,17,,,,,,North Myrtle Beach,,29582,,,
beachwood-golf-club-18,Beachwood Golf Club,18,,,,,,North Myrtle Beach,,29582,,,
bear-creek-golf-club-1,Bear Creek Golf Club,1,,,,,,West Union,,29696,,,
bear-creek-golf-club-2,Bear Creek Golf Club,2,,,,,,West Union,,29696,,,
bear-creek-golf-club-3,Bear Creek Golf Club,3,,,,,,West Union,,29696,,,
bear-creek-golf-club-4,Bear Creek Golf Club,4,,,,,,West Union,,29696,,,
bear-creek-golf-club-5,Bear Creek Golf Club,5,,,,,,West Union,,29696,,,
bear-creek-golf-club-6,Bear Creek Golf Club,6,,,,,,West Union,,29696,,,
bear-creek-golf-club-7,Bear Creek Golf Club,7,,,,,,West Union,,29696,,,
bear-creek-golf-club-8,Bear Creek Golf Club,8,,,,,,West Union,,29696,,,
bear-creek-golf-club-9,Bear Creek Golf Club,9,,,,,,West Union,,29696,,,
bear-creek-golf-club-10,Bear Creek Golf Club,10,,,,,,West Union,,29696,,,
bear-creek-golf-club-11,Bear Creek Golf Club,11,,,,,,West Union,,29696,,,
